customer_id,snapshot_date,tenure_months,spend_last_30d,leaky_col,churned
c0000,2023-01-01,51,134.89,1,1
c0001,2023-01-01,5,406.64,0,0
c0002,2023-01-01,30,364.75,1,0
c0003,2023-01-01,34,407.93,1,1
c0004,2023-01-01,24,16.79,1,0
c0005,2023-01-01,50,431.59,0,0
c0006,2023-01-01,5,211.34,0,1
c0007,2023-01-01,1,335.31,0,0
c0008,2023-01-01,16,191.84,1,0
c0009,2023-01-01,48,342.77,1,0
c0010,2023-01-01,50,194.46,1,1
c0011,2023-01-01,35,262.68,1,0
c0012,2023-01-01,25,444.74,0,0
c0013,2023-01-01,32,285.76,0,0
c0014,2023-01-01,43,168.96,1,0
c0015,2023-01-01,20,113.58,1,0
c0016,2023-01-01,3,416.32,0,0
c0017,2023-01-01,19,438.24,0,1
c0018,2023-01-01,40,75.14,0,0
c0019,2023-01-01,53,115.32,1,1
c0020,2023-01-01,34,99.26,0,1
c0021,2023-01-01,37,149.35,1,0
c0022,2023-01-01,53,471.06,0,0
c0023,2023-01-01,38,314.55,0,0
c0024,2023-01-01,25,477.3,0,0
c0025,2023-01-01,3,310.11,0,0
c0026,2023-01-01,36,230.02,1,0
c0027,2023-01-01,25,264.66,0,0
c0028,2023-01-01,5,367.24,0,0
c0029,2023-01-01,55,57.47,1,0
c0030,2023-01-01,58,483.96,1,1
c0031,2023-01-01,8,490.6,1,0
c0032,2023-01-01,22,486.31,0,0
c0033,2023-01-01,23,239.99,1,0
c0034,2023-01-01,53,461.77,1,0
c0035,2023-01-01,26,221.38,1,0
c0036,2023-01-01,41,366.0,0,0
c0037,2023-01-01,30,359.61,0,1
c0038,2023-01-01,6,256.38,1,0
c0039,2023-01-01,16,420.66,0,1
c0040,2023-01-01,39,215.15,0,0
c0041,2023-01-01,9,129.43,1,0
c0042,2023-01-01,13,112.93,1,1
c0043,2023-01-01,46,293.06,0,0
c0044,2023-01-01,46,280.24,1,0
c0045,2023-01-01,27,409.06,0,0
c0046,2023-01-01,42,184.7,1,0
c0047,2023-01-01,14,424.15,1,1
c0048,2023-01-01,49,454.98,0,1
c0049,2023-01-01,36,207.69,1,0
c0050,2023-01-01,7,182.52,0,1
c0051,2023-01-01,16,136.92,1,0
c0052,2023-01-01,38,63.41,1,0
c0053,2023-01-01,25,190.39,0,0
c0054,2023-01-01,19,488.23,0,0
c0055,2023-01-01,1,134.92,0,0
c0056,2023-01-01,38,255.35,1,0
c0057,2023-01-01,34,157.97,1,1
c0058,2023-01-01,17,406.17,1,0
c0059,2023-01-01,32,462.86,1,0
c0060,2023-01-01,38,123.57,1,1
